idEleccion,Region_o_Nivel,idAgrupacionPolitica,AgrupacionPolitica,TotalVotos	
10,14,18,PARTIDO DEMÓCRATA VERDE,16068	
10,14,19,PARTIDO DEMOCRATICO FEDERAL,6232	
10,14,2,AHORA NACIÓN - AN,405395	
10,14,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,43277	
10,14,21,PARTIDO FRENTE DE LA ESPERANZA 2021,83512	
10,14,22,PARTIDO MORADO,31737	
10,14,23,PARTIDO PAÍS PARA TODOS,530371	
10,14,24,PARTIDO PATRIÓTICO DEL PERÚ,37558	
10,14,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,31250	
10,14,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,27612	
10,14,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,17092	
10,14,28,PARTIDO POLÍTICO PERÚ ACCIÓN,8707	
10,14,29,PARTIDO POLÍTICO PERÚ PRIMERO,29296	
10,14,3,ALIANZA ELECTORAL VENCEREMOS,22894	
10,14,30,PARTIDO POLÍTICO PRIN,4137	
10,14,31,PARTIDO SICREO,234124	
10,14,32,PODEMOS PERÚ,57246	
10,14,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,253527	
10,14,34,PROGRESEMOS,20940	
10,14,35,RENOVACIÓN POPULAR,1188027	
10,14,36,SALVEMOS AL PERÚ,3107	
10,14,37,UN CAMINO DIFERENTE,11041	
10,14,38,UNIDAD NACIONAL,33261	
10,14,4,PERÚ MODERNO,3089	
10,14,5,FE EN EL PERÚ,5990	
10,14,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,14,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,11295	
10,14,8,FUERZA POPULAR,1061835	
10,14,80,VOTOS EN BLANCO,540086	
10,14,81,VOTOS NULOS,251767	
10,14,82,VOTOS IMPUGNADOS,0	
10,14,9,FUERZA Y LIBERTAD,7292	
10,15,1,ALIANZA PARA EL PROGRESO,19483	
10,15,10,JUNTOS POR EL PERÚ,24252	
10,15,11,LIBERTAD POPULAR,856	
10,15,12,PARTIDO APRISTA PERUANO,2431	
10,15,13,PARTIDO CIUDADANOS POR EL PERÚ,0	
10,15,14,PARTIDO CÍVICO OBRAS,12868	
10,15,15,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,258	
10,15,16,PARTIDO DEL BUEN GOBIERNO,11424	
10,15,17,PARTIDO DEMÓCRATA UNIDO PERÚ,1061	
10,15,18,PARTIDO DEMÓCRATA VERDE,1577	
10,15,19,PARTIDO DEMOCRATICO FEDERAL,348	
10,15,2,AHORA NACIÓN - AN,13273	
10,15,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,20181	
10,15,21,PARTIDO FRENTE DE LA ESPERANZA 2021,2614	
10,15,22,PARTIDO MORADO,1351	
10,15,23,PARTIDO PAÍS PARA TODOS,36931	
10,15,24,PARTIDO PATRIÓTICO DEL PERÚ,1725	
10,15,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,2105	
10,15,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,667	
10,15,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,2264	
10,15,28,PARTIDO POLÍTICO PERÚ ACCIÓN,528	
10,15,29,PARTIDO POLÍTICO PERÚ PRIMERO,7577	
10,15,3,ALIANZA ELECTORAL VENCEREMOS,1714	
10,15,30,PARTIDO POLÍTICO PRIN,180	
10,15,31,PARTIDO SICREO,5018	
10,15,32,PODEMOS PERÚ,7084	
10,15,33,PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO,5631	
10,15,34,PROGRESEMOS,1086	
10,15,35,RENOVACIÓN POPULAR,19822	
10,15,36,SALVEMOS AL PERÚ,565	
10,15,37,UN CAMINO DIFERENTE,447	
10,15,38,UNIDAD NACIONAL,951	
10,15,4,PERÚ MODERNO,656	
10,15,5,FE EN EL PERÚ,599	
10,15,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0	
10,15,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,529	
10,15,8,FUERZA POPULAR,83219	
10,15,80,VOTOS EN BLANCO,67863	
10,15,81,VOTOS NULOS,22143	
