id,idMesa,codigoMesa,idEleccion,idUbigeo,centroPoblado,nombreLocalVotacion,codigoLocalVotacion,totalElectoresHabiles,totalVotosEmitidos,totalVotosValidos,totalAsistentes,porcentajeParticipacionCiudadana,estadoActa,estadoComputo,codigoEstadoActa,descripcionEstadoActa,adAgrupacionPolitica,adDescripcion,adVotos,adPorcentajeVotosEmitidos
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,34,PROGRESEMOS,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,31,PARTIDO SICREO,2,2.857
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,24,PARTIDO PATRIÓTICO DEL PERÚ,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,26,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,7,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,2,2.857
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,13,PARTIDO CIUDADANOS POR EL PERÚ,,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,12,PARTIDO APRISTA PERUANO,4,5.714
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,30,PARTIDO POLÍTICO PRIN,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,33,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",5,7.143
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,22,PARTIDO MORADO,1,1.429
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,38,UNIDAD NACIONAL,2,2.857
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,1,ALIANZA PARA EL PROGRESO,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,19,PARTIDO DEMOCRATICO FEDERAL,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,4,PERÚ MODERNO,,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,29,PARTIDO POLÍTICO PERÚ PRIMERO,1,1.429
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,3,ALIANZA ELECTORAL VENCEREMOS,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,25,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,27,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1,1.429
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,37,UN CAMINO DIFERENTE,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,9,FUERZA Y LIBERTAD,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,6,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,18,PARTIDO DEMÓCRATA VERDE,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,16,PARTIDO DEL BUEN GOBIERNO,12,17.143
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,10,JUNTOS POR EL PERÚ,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,28,PARTIDO POLÍTICO PERÚ ACCIÓN,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,21,PARTIDO FRENTE DE LA ESPERANZA 2021,0,0
8806495020215,88064,088064,15,950202,,EMBAJADA DEL PERÚ EN NUEVA ZELANDA.  ,90216,286,70,63,70,24.476,D,N,C,Contabilizada,20,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0,0
